book_title,ban_date,collection_successful,error,state,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected
"Friendship, Dating, and Relationships (Teens: Being Gay, Lesbian, Bisexual, or Transgender)",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:24:03
Homophobia: From Social Stigma to Hate Crimes,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:24:16
"Considering Hate: Violence, Goodness, and Justice in American Culture and Politics",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:24:29
The Downstairs Girl,2021-12-01,True,,Texas,2.76,1.11,100.0,100.0,0.0,0.0,-59.68,-1.64,12.99,2026-02-07 11:24:42
The Breakaways,2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:24:55
LGBTQ Families: The Ultimate Teen Guide,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:25:08
Heather Has Two Mommies,2021-12-01,True,,Pennsylvania,1.73,1.11,100.0,100.0,0.0,0.0,-35.9,-0.62,10.78,2026-02-07 11:25:21
SEX: If You're Scared of The Truth Don't Read This!,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:25:34
Gender Queer: A Memoir,2021-12-01,True,,Texas,2.59,0.0,100.0,0.0,0.0,0.0,-100.0,-2.59,14.34,2026-02-07 11:25:48
The Summer of Jordi Perez (And the Best Burger in Los Angeles),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:26:01
Let's Talk About Love,2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:26:13
The Grief Keeper,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:26:27
The House You Pass on the Way,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:26:40
Coming Out: Telling Family and Friends,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:26:53
All Boys Aren't Blue,2021-12-01,True,,Texas,3.23,9.62,100.0,100.0,0.0,0.0,197.59,6.39,19.54,2026-02-07 11:27:06
The Art of Saving the World,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:27:19
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:27:32
Keeping You a Secret,2021-12-01,True,,Texas,0.0,1.92,0.0,100.0,0.0,0.0,inf,1.92,12.91,2026-02-07 11:27:45
Tips on Having a Gay (Ex) Boyfriend (Belle Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:27:58
We Are the Ants,2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:28:11
Identity: A Story of Transitioning,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:28:25
Flamer,2021-12-01,True,,Wisconsin,9.01,16.38,100.0,100.0,0.0,0.0,81.75,7.37,29.48,2026-02-07 11:28:38
"The Birds, the Bees, and You and Me",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:28:51
The Cider House Rules,2021-12-01,True,,Texas,1.11,4.37,100.0,100.0,0.0,0.0,293.0,3.26,14.14,2026-02-07 11:29:04
Proxy (Proxy Series),2021-12-01,True,,Texas,0.0,2.13,0.0,100.0,0.0,0.0,inf,2.13,14.16,2026-02-07 11:29:18
All Boys Aren't Blue,2021-12-01,True,,Florida,3.23,9.62,100.0,100.0,0.0,0.0,197.59,6.39,19.54,2026-02-07 11:29:30
ttyl (Internet Girls Series),2021-12-01,True,,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:29:44
One of Those Hideous Books Where the Mother Dies,2021-12-01,True,,Texas,1.98,0.0,100.0,0.0,0.0,0.0,-100.0,-1.98,13.22,2026-02-07 11:29:57
The Breakaways,2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:30:10
"They, She, He Easy as ABC",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:30:23
The Abortion Debate (Essential Viewpoints),2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:30:36
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,2021-12-01,True,,Texas,3.62,12.23,100.0,100.0,0.0,0.0,237.73,8.61,20.48,2026-02-07 11:30:49
This One Summer,2021-12-01,True,,Texas,28.39,28.47,100.0,100.0,0.0,0.0,0.27,0.08,31.84,2026-02-07 11:31:02
Flamer,2021-12-01,True,,Texas,9.01,16.38,100.0,100.0,0.0,0.0,81.75,7.37,29.48,2026-02-07 11:31:15
Sonny's House of Spies,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:31:29
"No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:31:42
Lobizona: A Novel (Wolves of No World Series),2021-12-01,True,,Texas,2.14,0.0,100.0,0.0,0.0,0.0,-100.0,-2.14,14.23,2026-02-07 11:31:55
Stamped from the Beginning: The Definitive History of Racist Ideas in America,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:32:08
Lies My Girlfriend Told Me,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:32:21
Beyond Magenta: Transgender Teens Speak Out,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:32:34
Laura Dean Keeps Breaking Up with Me,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:32:48
Lawn Boy,2021-12-01,True,,Texas,24.29,23.48,100.0,100.0,0.0,0.0,-3.34,-0.81,18.33,2026-02-07 11:33:01
Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:33:14
The Miseducation of Cameron Post,2021-12-01,True,,Texas,3.78,3.08,100.0,100.0,0.0,0.0,-18.53,-0.7,17.18,2026-02-07 11:33:27
What Happened to Lani Garver,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:33:40
The Blood Countess (Lady Slayers Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:33:53
The Migration North,2021-12-01,True,,Texas,15.72,16.07,100.0,100.0,0.0,0.0,2.19,0.34,28.04,2026-02-07 11:34:06
Gender Identity (Teen Mental Health),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:34:19
Gay and Lesbian Role Models,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:34:33
7 Days at the Hot Corner,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:34:46
The Mighty Heart of Sunny St. James,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:34:59
White Rabbit,2021-12-01,True,,Texas,45.98,63.21,100.0,100.0,29.0,39.0,37.48,17.23,14.81,2026-02-07 11:35:32
"Far From the Tree: Parents, Children and the Search for Identity",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:35:46
Killing Mr. Griffin,2021-12-01,True,,Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:35:59
What If It's Us (What If It's Us Series),2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:36:12
Out of Darkness,2021-12-01,True,,Texas,13.48,45.17,100.0,100.0,0.0,0.0,235.12,31.69,27.41,2026-02-07 11:36:25
Absolute Brightness,2021-12-01,True,,Texas,0.0,4.19,0.0,100.0,0.0,0.0,inf,4.19,17.55,2026-02-07 11:36:38
How Prevalent Is Racism in Society?,2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:36:51
The Fire Never Goes Out: A Memoir in Pictures,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:37:04
My Invented Life,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:37:18
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:37:31
Love Drugged,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:37:44
Totally Joe (The Misfits Series),2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:37:58
High Drama (Suspended Series),2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:38:11
Let it Snow: Three Holiday Romances,2021-12-01,True,,Wisconsin,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:38:24
Ana on the Edge,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:38:37
Girls Like Us (2015),2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:38:50
The Gods of Tango,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:39:03
Melissa (George),2021-12-01,True,,Texas,22.02,9.87,100.0,100.0,0.0,0.0,-55.2,-12.16,22.74,2026-02-07 11:39:16
The Barren Grounds (The Misewa Saga Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:39:29
The Less-dead,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:39:42
Rage: A Love Story,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:39:55
Girls vs. Guys: Surprising Differences Between the Sexes,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:40:08
The Difference Between You and Me,2021-12-01,True,,Texas,34.81,35.48,100.0,100.0,0.0,0.0,1.92,0.67,34.25,2026-02-07 11:40:22
Fan Art,2021-12-01,True,,Texas,78.44,81.68,100.0,100.0,63.0,56.0,4.12,3.23,9.25,2026-02-07 11:40:35
Honestly Ben (Openly Straight Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:40:48
The Baby Tree,2021-12-01,True,,Texas,31.81,26.17,100.0,100.0,0.0,0.0,-17.74,-5.64,28.86,2026-02-07 11:41:01
Underneath It All: A History of Women's Underwear,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:41:14
The Art of Being Normal,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:41:28
"Middle School's a Drag, You Better Werk!",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:41:41
Crank (Crank Series),2021-12-01,True,,Wisconsin,1.11,4.06,100.0,100.0,0.0,0.0,265.0,2.94,14.44,2026-02-07 11:41:54
It's Not Like It's a Secret,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:42:07
Tell Me Again How a Crush Should Feel,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:42:20
Birthday,2021-12-01,True,,Texas,32.04,66.37,100.0,100.0,22.0,50.0,107.11,34.32,19.75,2026-02-07 11:42:34
"Girl, (Nearly) 16: Absolute Torture",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:42:47
Everybody Sees the Ants,2021-12-01,True,,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:43:00
Burn Baby Burn,2021-12-01,True,,Indiana,52.6,52.32,100.0,100.0,0.0,0.0,-0.53,-0.28,18.8,2026-02-07 11:43:13
"Ready or Not?: A Girl's Guide to Making Her Own Decisions about Dating, Love, and Sex",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:43:26
Thirteen Reasons Why,2021-12-01,True,,Florida,5.97,11.82,100.0,100.0,0.0,0.0,98.14,5.86,24.31,2026-02-07 11:43:39
All Boys Aren't Blue,2021-12-01,True,,Texas,3.23,9.62,100.0,100.0,0.0,0.0,197.59,6.39,19.54,2026-02-07 11:43:52
"Gays and Mental Health: Fighting Depression, Saying No to Suicide",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:44:05
In Our Mothers' House,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:44:18
Abortion,2021-12-01,True,,Texas,15.72,26.78,100.0,100.0,6.0,14.0,70.32,11.06,14.09,2026-02-07 11:44:32
Tomboy: A Graphic Memoir,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:44:45
The Dear One,2021-12-01,True,,Texas,11.59,15.43,100.0,100.0,0.0,0.0,33.17,3.84,28.03,2026-02-07 11:44:58
Homegoing,2021-12-01,True,,Texas,41.26,42.57,100.0,100.0,0.0,0.0,3.18,1.31,31.48,2026-02-07 11:45:11
The Handmaid's Tale,2021-12-01,True,,Texas,34.86,61.76,100.0,100.0,21.0,35.0,77.18,26.9,17.56,2026-02-07 11:45:25
Under Threat,2021-12-01,True,,Texas,22.39,24.01,100.0,100.0,0.0,0.0,7.25,1.62,30.23,2026-02-07 11:45:38
Living with Religion and Faith,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:45:51
Daughters Unto Devils,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:46:04
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:46:17
Rainbow High (Rainbow Trilogy Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:46:30
The Red Scrolls of Magic,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:46:44
10 Things I Can See from Here,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:46:57
The Last Exit to Normal,2021-12-01,True,,Texas,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-07 11:47:10
Two Boys Kissing,2021-12-01,True,,Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:47:23
Ship It,2021-12-01,True,,Texas,82.61,73.04,100.0,100.0,64.0,52.0,-11.58,-9.57,9.75,2026-02-07 11:47:37
Trans Mission: My Quest to a Beard,2021-12-01,True,,Texas,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:47:50
Kaleidoscope Song,2021-12-01,True,,Texas,1.11,2.04,100.0,100.0,0.0,0.0,84.0,0.93,12.16,2026-02-07 11:48:03
The Edge of the Water (Whidbey Island Saga Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:48:16
Draw the Line,2021-12-01,True,,Texas,64.9,45.51,100.0,100.0,0.0,0.0,-29.88,-19.39,25.61,2026-02-07 11:48:29
Everything You Love Will Burn: Inside the Rebirth of White Nationalism in America,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:48:43
Say the Word,2021-12-01,True,,Texas,78.64,64.06,100.0,100.0,58.0,35.0,-18.55,-14.59,14.24,2026-02-07 11:48:56
Drama: A Graphic Novel,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:49:09
Between Mom and Jo,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:49:22
"Gone, Gone, Gone",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:49:35
The Moon Within,2021-12-01,True,,Texas,3.94,7.66,100.0,100.0,0.0,0.0,94.08,3.71,21.04,2026-02-07 11:49:48
Dreadnought (Nemesis Series),2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:50:01
"Gay People of Color: Facing Prejudices, Forging Identities",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:50:14
Two Boys Kissing,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:50:27
Middlesex,2021-12-01,True,,Texas,65.62,65.79,100.0,100.0,35.0,38.0,0.25,0.17,12.03,2026-02-07 11:50:41
I Hope You're Listening,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:50:54
Wayward Witch (Brooklyn Brujas Series),2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:51:07
The Deep & Dark Blue,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:51:20
"Tomorrow Will Be Different: Love, Loss, and the Fight for Trans Equality",2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:51:33
"Invisible Man, Got the Whole World Watching: A Young Black Man's Education",2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:51:46
Darius the Great Deserves Better (Darius the Great Series),2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:51:59
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:52:13
At the Edge of the Universe,2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:52:26
Jacob's Room to Choose,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:52:39
Being the Change: Lessons and Strategies to Teach Social Comprehension,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:52:52
Suicide Notes,2021-12-01,True,,Texas,5.94,6.32,100.0,100.0,0.0,0.0,6.36,0.38,21.06,2026-02-07 11:53:04
When We Were Magic,2021-12-01,True,,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-07 11:53:18
Playing the Field,2021-12-01,True,,Texas,14.81,24.44,100.0,100.0,0.0,0.0,65.04,9.63,21.23,2026-02-07 11:53:30
Beyond Dreams (Hamilton High Series),2021-12-01,True,,Texas,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-07 11:53:43
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",2021-12-01,True,,Wisconsin,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-07 11:53:57
